PID,year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault
1988-NY,1988,NY,17898000,196396,2244,5479.0,,97434,91239
1988-OH,1988,OH,10872000,49144,585,4632.0,,17546,26381
1988-OK,1988,OK,3263000,14179,243,1229.0,,3428,9279
1988-OR,1988,OR,2741000,14959,139,1111.0,,5289,8420
1988-PA,1988,PA,12027000,43534,660,2992.0,,16607,23275
1988-RI,1988,RI,995000,3947,41,303.0,,1146,2457
1988-SC,1988,SC,3493000,25889,325,1493.0,,4357,19714
1988-SD,1988,SD,715000,813,22,192.0,,87,512
1988-TN,1988,TN,4919000,26205,461,2201.0,,8537,15006
1988-TX,1988,TX,16780000,109499,2022,8119.0,,39301,60057
1988-UT,1988,UT,1691000,4110,47,399.0,,915,2749
1988-VA,1988,VA,5996000,17940,468,1622.0,,6748,9102
1988-VT,1988,VT,556000,791,11,128.0,,89,563
1988-WA,1988,WA,4619000,21543,264,2611.0,,6738,11930
1988-WI,1988,WI,4858000,10414,144,965.0,,3258,6047
1988-WV,1988,WV,1884000,2476,93,353.0,,644,1386
1988-WY,1988,WY,471000,1479,12,113.0,,71,1283
1989-AK,1989,AK,527000,2623,42,279.0,,356,1946
1989-AL,1989,AL,4118000,24329,421,1276.0,,5515,17117
1989-AR,1989,AR,2406000,11397,203,924.0,,2660,7610
1989-AZ,1989,AZ,3556000,21320,237,1286.0,,4944,14853
1989-CA,1989,CA,29063000,284136,3158,11966.0,,96431,172581
1989-CO,1989,CO,3317000,15636,146,1202.0,,2984,11304
1989-CT,1989,CT,3239000,16576,190,892.0,,6956,8538
1989-DC,1989,DC,604000,12937,434,186.0,,6542,5775
1989-DE,1989,DE,673000,3745,34,569.0,,934,2208
1989-FL,1989,FL,12671000,140575,1405,6299.0,,51188,81683
1989-GA,1989,GA,6436000,47357,820,3150.0,,17450,25937
1989-HI,1989,HI,1112000,3004,53,496.0,,925,1530
1989-IA,1989,IA,2840000,7563,54,459.0,,1108,5942
1989-ID,1989,ID,1014000,2582,26,236.0,,152,2168
1989-IL,1989,IL,11658000,98611,1051,4161.0,,39138,54261
1989-IN,1989,IN,5593000,22735,353,1804.0,,5671,14907
1989-KS,1989,KS,2513000,10073,138,917.0,,2508,6510
1989-KY,1989,KY,3727000,13302,293,917.0,,2836,9256
1989-LA,1989,LA,4382000,34257,653,1675.0,,10397,21532
1989-MA,1989,MA,5913000,39912,254,1881.0,,11980,25797
1989-MD,1989,MD,4694000,40152,544,1783.0,,15589,22236
1989-ME,1989,ME,1222000,1676,39,229.0,,293,1115
1989-MI,1989,MI,9273000,65760,993,6624.0,,20616,37527
1989-MN,1989,MN,4353000,12549,111,1363.0,,4128,6947
1989-MO,1989,MO,5159000,32634,409,1587.0,,10060,20578
1989-MT,1989,MT,806000,935,23,145.0,,137,630
1989-NC,1989,NC,6571000,35902,584,1964.0,,8770,24584
1989-ND,1989,ND,660000,417,4,78.0,,61,274
1989-NE,1989,NE,1611000,4503,40,381.0,,837,3245
1989-NH,1989,NH,1107000,1865,36,327.0,,264,1238
1989-NJ,1989,NJ,7736000,47111,394,2449.0,,21139,23129
1989-NM,1989,NM,1528000,10755,132,702.0,,1607,8314
1989-NV,1989,NV,1111000,6947,91,662.0,,2784,3410
1989-NY,1989,NY,17950000,203042,2246,5242.0,,103983,91571
1989-OH,1989,OH,10907000,51109,652,4872.0,,18635,26950
1989-OK,1989,OK,3224000,15847,210,1209.0,,4070,10358
1989-OR,1989,OR,2820000,14625,134,1314.0,,4282,8895
1989-PA,1989,PA,12040000,45586,753,2963.0,,18025,23845
1989-RI,1989,RI,998000,3772,49,266.0,,1122,2335
1989-SC,1989,SC,3512000,28576,320,1632.0,,4574,22050
1989-SD,1989,SD,715000,969,9,229.0,,84,647
1989-TN,1989,TN,4940000,27118,417,2270.0,,7926,16505
1989-TX,1989,TX,16991000,111889,2029,7951.0,,37913,63996
1989-UT,1989,UT,1707000,4417,45,489.0,,898,2985
1989-VA,1989,VA,6098000,19057,480,1638.0,,6494,10445
1989-VT,1989,VT,567000,753,11,131.0,,102,509
1989-WA,1989,WA,4761000,22460,209,2938.0,,6672,12641
1989-WI,1989,WI,4867000,10834,176,993.0,,3659,6006
1989-WV,1989,WV,1857000,2724,121,347.0,,793,1463
1989-WY,1989,WY,475000,1227,21,134.0,,81,991
1990-AK,1990,AK,550043,2885,41,401.0,,422,2021
1990-AL,1990,AL,4040587,28630,467,1319.0,,5805,21039
1990-AR,1990,AR,2350725,12511,241,1019.0,,2661,8590
1990-AZ,1990,AZ,3665228,23911,284,1500.0,,5897,16230
1990-CA,1990,CA,29760021,311051,3553,12688.0,,112208,182602
1990-CO,1990,CO,3294394,17328,138,1521.0,,2985,12684
1990-CT,1990,CT,3287116,18201,166,918.0,,7717,9400
1990-DC,1990,DC,606900,14919,472,303.0,,7365,6779
1990-DE,1990,DE,666168,4365,33,587.0,,1098,2647
1990-FL,1990,FL,12937926,160990,1379,6781.0,,53928,98902
1990-GA,1990,GA,6478216,48996,767,3472.0,,17067,27690
1990-HI,1990,HI,1108229,3113,44,360.0,,1013,1696
1990-IA,1990,IA,2776755,8321,54,510.0,,1089,6668
1990-ID,1990,ID,1006749,2776,27,275.0,,151,2323
1990-IL,1990,IL,11430602,110575,1182,4505.0,,45038,59850
1990-IN,1990,IN,5544159,26275,344,2103.0,,5619,18209
1990-KS,1990,KS,2477574,11093,98,1002.0,,2914,7079
1990-KY,1990,KY,3685296,14386,264,1068.0,,2545,10509
1990-LA,1990,LA,4219973,37914,724,1781.0,,11387,24022
1990-MA,1990,MA,6016425,44300,243,2030.0,,13062,28965
1990-MD,1990,MD,4781468,43940,552,2185.0,,17394,23809
1990-ME,1990,ME,1227928,1759,30,242.0,,308,1179
1990-MI,1990,MI,9295297,73468,971,7209.0,,21752,43536
1990-MN,1990,MN,4375099,13392,117,1487.0,,4057,7731
1990-MO,1990,MO,5117073,36602,449,1663.0,,11073,23417
1990-MT,1990,MT,799065,1273,39,195.0,,173,866
1990-NC,1990,NC,6628637,41332,711,2272.0,,10082,28267
1990-ND,1990,ND,638800,472,5,114.0,,50,303
1990-NE,1990,NE,1578385,5209,43,473.0,,807,3886
1990-NH,1990,NH,1109252,1459,21,386.0,,302,750
1990-NJ,1990,NJ,7730188,50057,432,2307.0,,23269,24049
1990-NM,1990,NM,1515069,11821,139,753.0,,1744,9185
1990-NV,1990,NV,1201833,7222,116,748.0,,2864,3494
1990-NY,1990,NY,17990455,212458,2605,5368.0,,112380,92105
1990-OH,1990,OH,10847115,54904,663,5075.0,,20451,28715
1990-OK,1990,OK,3145585,17222,253,1479.0,,3836,11654
1990-OR,1990,OR,2842321,14405,108,1332.0,,4102,8863
1990-PA,1990,PA,11881643,51213,801,3068.0,,20930,26414
1990-RI,1990,RI,1003464,4334,48,248.0,,1224,2814
1990-SC,1990,SC,3486703,34050,390,1873.0,,5313,26474
1990-SD,1990,SD,696004,1133,14,239.0,,86,794
1990-TN,1990,TN,4877185,32698,511,2415.0,,9325,20447
1990-TX,1990,TX,16986510,129343,2389,8750.0,,44297,73907
1990-UT,1990,UT,1722850,4892,52,651.0,,980,3209
1990-VA,1990,VA,6187358,21694,545,1915.0,,7626,11608
1990-VT,1990,VT,562758,716,13,146.0,,66,491
1990-WA,1990,WA,4866692,24410,238,3115.0,,6326,14731
1990-WI,1990,WI,4891769,12948,225,1013.0,,5514,6196
1990-WV,1990,WV,1793477,3036,102,423.0,,680,1831
1990-WY,1990,WY,453588,1367,22,134.0,,72,1139
1991-AK,1991,AK,570000,3499,42,523.0,,645,2289
1991-AL,1991,AL,4089000,34518,469,1455.0,,6246,26348
1991-AR,1991,AR,2372000,14072,264,1058.0,,3217,9533
1991-AZ,1991,AZ,3750000,25152,291,1590.0,,6215,17056
1991-CA,1991,CA,30380000,331122,3859,12896.0,,124939,189428
1991-CO,1991,CO,3377000,18887,199,1588.0,,3628,13472
1991-CT,1991,CT,3291000,17761,187,960.0,,7384,9230
1991-DC,1991,DC,598000,14671,482,214.0,,7269,6706
1991-DE,1991,DE,680000,4857,37,588.0,,1460,2772
1991-FL,1991,FL,13277000,157243,1248,6865.0,,53083,96047
1991-GA,1991,GA,6623000,48894,849,2800.0,,17762,27483
1991-HI,1991,HI,1135000,2744,45,375.0,,986,1338
1991-IA,1991,IA,2795000,8477,57,583.0,,1257,6580
1991-ID,1991,ID,1039000,3016,19,300.0,,215,2482
1991-IL,1991,IL,11543000,119955,1300,4615.0,,52653,61387
1991-IN,1991,IN,5610000,28349,423,2318.0,,6506,19102
1991-KS,1991,KS,2495000,12465,153,1118.0,,3453,7741
1991-KY,1991,KY,3713000,16262,253,1315.0,,3084,11610
1991-LA,1991,LA,4252000,40438,720,1738.0,,11860,26120
1991-MA,1991,MA,5996000,44138,249,1926.0,,11669,30294
1991-MD,1991,MD,4860000,46469,569,2229.0,,19783,23888
1991-ME,1991,ME,1235000,1631,15,270.0,,280,1066
1991-MI,1991,MI,9368000,75232,1009,7372.0,,22790,44061
1991-MN,1991,MN,4432000,14006,131,1762.0,,4345,7768
1991-MO,1991,MO,5158000,39358,543,1756.0,,12952,24107
1991-MT,1991,MT,808000,1130,21,160.0,,150,799
1991-NC,1991,NC,6737000,44355,769,2331.0,,11990,29265
1991-ND,1991,ND,635000,415,7,116.0,,51,241
1991-NE,1991,NE,1593000,5330,52,447.0,,861,3970
1991-NH,1991,NH,1105000,1318,40,330.0,,365,583
1991-NJ,1991,NJ,7760000,49257,406,2259.0,,22744,23848
1991-NM,1991,NM,1548000,12922,163,811.0,,1862,10086
1991-NV,1991,NV,1284000,8693,152,848.0,,4012,3681
1991-NY,1991,NY,18058000,210184,2571,5085.0,,112342,90186
1991-OH,1991,OH,10939000,61460,783,5748.0,,23536,31393
1991-OK,1991,OK,3175000,18533,230,1615.0,,4094,12594
1991-OR,1991,OR,2922000,14795,133,1561.0,,4387,8714
1991-PA,1991,PA,11961000,53824,758,3435.0,,23191,26440
1991-RI,1991,RI,1004000,4638,37,310.0,,1234,3057
1991-SC,1991,SC,3560000,34621,402,2098.0,,6092,26029
1991-SD,1991,SD,703000,1281,12,279.0,,132,858
1991-TN,1991,TN,4953000,35955,547,2299.0,,10543,22566
1991-TX,1991,TX,17349000,145743,2652,9266.0,,49700,84125
1991-UT,1991,UT,1770000,5077,52,808.0,,976,3241
1991-VA,1991,VA,6286000,23459,583,1879.0,,8651,12346
1991-VT,1991,VT,567000,662,12,173.0,,67,410
1991-WA,1991,WA,5018000,26224,211,3529.0,,7303,15181
1991-WI,1991,WI,4955000,13723,239,1259.0,,5895,6330
1991-WV,1991,WV,1801000,3440,111,415.0,,779,2135
1991-WY,1991,WY,460000,1427,15,119.0,,79,1214
1992-AK,1992,AK,587000,3877,44,579.0,,640,2614
1992-AL,1992,AL,4136000,36052,455,1704.0,,6819,27074
1992-AR,1992,AR,2399000,13831,259,990.0,,3011,9571
1992-AZ,1992,AZ,3832000,25706,312,1647.0,,5867,17880
1992-CA,1992,CA,30867000,345624,3921,12761.0,,130897,198045
1992-CO,1992,CO,3470000,20086,216,1641.0,,4180,14049
1992-CT,1992,CT,3281000,16252,166,884.0,,6918,8284
1992-DC,1992,DC,589000,16685,443,215.0,,7459,8568
1992-DE,1992,DE,689000,4280,32,591.0,,1042,2615
1992-FL,1992,FL,13488000,162827,1208,7310.0,,49482,104827
1992-GA,1992,GA,6751000,49496,741,3057.0,,16863,28835
1992-HI,1992,HI,1160000,2998,42,440.0,,1151,1365
1992-IA,1992,IA,2812000,7816,44,528.0,,1113,6131
1992-ID,1992,ID,1067000,3003,37,339.0,,229,2398
1992-IL,1992,IL,11631000,113664,1322,4312.0,,47973,60057
1992-IN,1992,IN,5662000,28791,464,2398.0,,6921,19008
1992-KS,1992,KS,2523000,12888,151,1042.0,,3277,8418
1992-KY,1992,KY,3755000,20107,216,1209.0,,3273,15409
1992-LA,1992,LA,4287000,42209,747,1813.0,,11636,28013
1992-MA,1992,MA,5998000,46727,214,2166.0,,11059,33288
1992-MD,1992,MD,4908000,49085,596,2278.0,,21054,25157
1992-ME,1992,ME,1235000,1616,21,294.0,,288,1013
1992-MI,1992,MI,9437000,72672,938,7550.0,,20902,43282
1992-MN,1992,MN,4480000,15144,150,1840.0,,4906,8248
1992-MO,1992,MO,5193000,38448,547,1895.0,,11783,24223
1992-MT,1992,MT,824000,1400,24,210.0,,222,944
1992-NC,1992,NC,6843000,46600,723,2455.0,,12784,30638
1992-ND,1992,ND,636000,530,12,148.0,,50,320
1992-NE,1992,NE,1606000,5598,68,504.0,,911,4115
1992-NH,1992,NH,1111000,1397,18,424.0,,367,588
1992-NJ,1992,NJ,7789000,48745,397,2392.0,,22216,23740
1992-NM,1992,NM,1581000,14781,141,990.0,,2202,11448
1992-NV,1992,NV,1327000,9247,145,833.0,,4397,3872
1992-NY,1992,NY,18119000,203311,2397,5152.0,,108154,87608
1992-OH,1992,OH,11016000,57935,724,5739.0,,21925,29547
1992-OK,1992,OK,3212000,20005,210,1556.0,,4376,13863
1992-OR,1992,OR,2977000,15189,139,1580.0,,4507,8963
1992-PA,1992,PA,12009000,51276,746,3324.0,,21701,25505
1992-RI,1992,RI,1005000,3965,36,311.0,,950,2668
1992-SC,1992,SC,3603000,34029,373,2072.0,,6148,25436
1992-SD,1992,SD,711000,1383,4,368.0,,120,891
1992-TN,1992,TN,5024000,37487,520,2377.0,,10964,23626
1992-TX,1992,TX,17656000,142369,2239,9437.0,,44588,86105
1992-UT,1992,UT,1813000,5267,54,823.0,,1014,3376
1992-VA,1992,VA,6377000,23907,564,2008.0,,8787,12548
1992-VT,1992,VT,570000,624,12,142.0,,51,419
1992-WA,1992,WA,5136000,27454,258,3697.0,,7178,16321
1992-WI,1992,WI,5007000,13806,218,1315.0,,5997,6276
1992-WV,1992,WV,1812000,3833,115,393.0,,788,2537
1992-WY,1992,WY,466000,1489,17,163.0,,84,1225
1993-AK,1993,AK,599000,4557,54,502.0,,733,3268
1993-AL,1993,AL,4187000,32676,484,1471.0,,6677,24044
1993-AR,1993,AR,2424000,14381,247,1028.0,,3027,10079
1993-AZ,1993,AZ,3936000,28142,339,1488.0,,6412,19903
1993-CA,1993,CA,31211000,336381,4096,11766.0,,126436,194083
1993-CO,1993,CO,3566000,20229,206,1633.0,,4160,14230
1993-CT,1993,CT,3277000,14949,206,800.0,,6447,7496
1993-DC,1993,DC,578000,16888,454,324.0,,7107,9003
1993-DE,1993,DE,700000,4801,35,539.0,,1307,2920
1993-FL,1993,FL,13679000,164975,1224,7359.0,,48913,107479
1993-GA,1993,GA,6917000,50019,789,2448.0,,17154,29628
1993-HI,1993,HI,1172000,3061,45,394.0,,1214,1408
1993-IA,1993,IA,2814000,9159,66,686.0,,1517,6890
1993-ID,1993,ID,1099000,3097,32,388.0,,186,2491
1993-IL,1993,IL,11697000,112260,1332,4046.0,,44584,62298
1993-IN,1993,IN,5713000,27941,430,2234.0,,6845,18432
1993-KS,1993,KS,2531000,12564,161,1016.0,,3128,8259
1993-KY,1993,KY,3789000,17530,249,1301.0,,3425,12555
1993-LA,1993,LA,4295000,45600,874,1817.0,,12182,30727
1993-MA,1993,MA,6012000,48393,233,2006.0,,10563,35591
1993-MD,1993,MD,4965000,49540,632,2185.0,,21582,25141
1993-ME,1993,ME,1239000,1558,20,329.0,,264,945
1993-MI,1993,MI,9478000,75021,933,6740.0,,22601,44747
1993-MN,1993,MN,4517000,15986,155,2796.0,,5092,7943
1993-MO,1993,MO,5234000,38963,590,1894.0,,12654,23825
1993-MT,1993,MT,839000,1489,25,234.0,,272,958
1993-NC,1993,NC,6945000,47178,785,2379.0,,13364,30650
1993-ND,1993,ND,635000,522,11,149.0,,53,309
1993-NE,1993,NE,1607000,6071,63,447.0,,1003,4558
1993-NH,1993,NH,1125000,1550,23,499.0,,307,721
1993-NJ,1993,NJ,7879000,49390,418,2215.0,,23319,23438
1993-NM,1993,NM,1616000,15024,130,842.0,,2237,11815
1993-NV,1993,NV,1389000,12157,144,846.0,,4724,6443
1993-NY,1993,NY,18197000,195352,2420,5008.0,,102122,85802
1993-OH,1993,OH,11091000,55915,667,5444.0,,21373,28431
1993-OK,1993,OK,3231000,20512,273,1592.0,,3935,14712
1993-OR,1993,OR,3032000,15254,140,1554.0,,3930,9630
1993-PA,1993,PA,12048000,50295,823,3195.0,,21563,24714
1993-RI,1993,RI,1000000,4017,39,286.0,,1011,2681
1993-SC,1993,SC,3643000,37281,377,1905.0,,6825,28174
1993-SD,1993,SD,715000,1490,24,318.0,,107,1041
1993-TN,1993,TN,5099000,39047,521,2544.0,,11224,24758
1993-TX,1993,TX,18031000,137419,2147,9922.0,,40469,84881
1993-UT,1993,UT,1860000,5599,58,829.0,,1090,3622
1993-VA,1993,VA,6491000,24160,539,2083.0,,9216,12322
1993-VT,1993,VT,576000,658,21,229.0,,52,356
1993-WA,1993,WA,5255000,27040,271,3384.0,,7204,16181
1993-WI,1993,WI,5038000,13321,222,1269.0,,5714,6116
1993-WV,1993,WV,1820000,3793,126,365.0,,782,2520
1993-WY,1993,WY,470000,1345,16,161.0,,81,1087
1994-AK,1994,AK,606000,4644,38,418.0,,886,3302
1994-AL,1994,AL,4219000,28844,501,1487.0,,7223,19633
1994-AR,1994,AR,2453000,14598,294,1028.0,,3158,10118
1994-AZ,1994,AZ,4075000,28653,426,1465.0,,6601,20161
1994-CA,1994,CA,31431000,318395,3703,10984.0,,112160,191548
1994-CO,1994,CO,3656000,18632,199,1579.0,,3910,12944
1994-CT,1994,CT,3275000,14916,215,806.0,,6150,7745
1994-DC,1994,DC,570000,15177,399,249.0,,6311,8218
1994-DE,1994,DE,706000,4549,33,546.0,,1141,2829
1994-FL,1994,FL,13953000,160016,1165,7301.0,,45871,105679
1994-GA,1994,GA,7055000,47103,703,2448.0,,15703,28249
1994-HI,1994,HI,1179000,3091,50,359.0,,1221,1461
1994-IA,1994,IA,2829000,8914,47,666.0,,1327,6874
1994-ID,1994,ID,1133000,3238,40,316.0,,209,2673
1994-IL,1994,IL,11752000,112928,1378,3913.0,,43788,63849
1994-IN,1994,IN,5752000,30205,453,2046.0,,7490,20216
1994-KS,1994,KS,2554000,11314,170,1055.0,,2940,7149
1994-KY,1994,KY,3827000,16991,244,1350.0,,3595,11802
1994-LA,1994,LA,4315000,42369,856,1923.0,,11530,28060
1994-MA,1994,MA,6041000,42749,214,1825.0,,10160,30550
1994-MD,1994,MD,5006000,47457,579,2035.0,,20147,24696
1994-ME,1994,ME,1240000,1611,28,318.0,,278,987
1994-MI,1994,MI,9496000,72751,927,6720.0,,21733,43371
1994-MN,1994,MN,4567000,16397,147,2725.0,,5370,8155
1994-MO,1994,MO,5278000,39240,554,1955.0,,12178,24553
1994-MT,1994,MT,856000,1516,28,233.0,,280,975
1994-NC,1994,NC,7070000,46308,772,2334.0,,12811,30391
1994-ND,1994,ND,638000,522,1,149.0,,71,301
1994-NE,1994,NE,1623000,6322,51,500.0,,1223,4548
1994-NH,1994,NH,1137000,1328,16,407.0,,308,597
1994-NJ,1994,NJ,7904000,48544,396,1972.0,,22762,23414
1994-NM,1994,NM,1654000,14708,177,866.0,,2329,11336
1994-NV,1994,NV,1457000,14597,170,1001.0,,5134,8292
1994-NY,1994,NY,18169000,175433,2016,4700.0,,86617,82100
1994-OH,1994,OH,11102000,53930,662,5231.0,,20821,27216
1994-OK,1994,OK,3258000,21225,226,1616.0,,4174,15209
1994-OR,1994,OR,3086000,16067,150,1333.0,,4264,10320
1994-PA,1994,PA,12052000,51425,712,3145.0,,22497,25071
1994-RI,1994,RI,997000,3744,41,273.0,,870,2560
1994-SC,1994,SC,3664000,37756,353,1991.0,,6817,28595
1994-SD,1994,SD,721000,1641,10,303.0,,135,1193
1994-TN,1994,TN,5175000,38705,482,2545.0,,10735,24943
1994-TX,1994,TX,18378000,129838,2022,9102.0,,37643,81071
1994-UT,1994,UT,1908000,5810,56,806.0,,1213,3735
1994-VA,1994,VA,6552000,23437,571,1868.0,,8704,12294
1994-VT,1994,VT,580000,562,6,160.0,,71,325
1994-WA,1994,WA,5343000,27317,294,3230.0,,7464,16329
1994-WI,1994,WI,5082000,13748,227,1192.0,,5739,6590
1994-WV,1994,WV,1822000,3931,99,370.0,,772,2690
1994-WY,1994,WY,476000,1297,16,160.0,,79,1042
1995-AK,1995,AK,604000,4656,55,485.0,,937,3179
1995-AL,1995,AL,4253000,26894,475,1350.0,,7900,17169
1995-AR,1995,AR,2484000,13741,259,925.0,,3122,9435
1995-AZ,1995,AZ,4218000,30095,439,1418.0,,7329,20909
1995-CA,1995,CA,31589000,305154,3531,10554.0,,104611,186458
1995-CO,1995,CO,3747000,16494,216,1480.0,,3604,11194
1995-CT,1995,CT,3275000,13293,150,776.0,,5345,7022
1995-DC,1995,DC,554000,14744,360,292.0,,6864,7228
1995-DE,1995,DE,717000,5198,25,575.0,,1425,3173
1995-FL,1995,FL,14166000,151711,1037,6887.0,,42485,101302
1995-GA,1995,GA,7201000,47317,683,2539.0,,14777,29318
1995-HI,1995,HI,1187000,3509,56,336.0,,1553,1564
1995-IA,1995,IA,2842000,10071,51,619.0,,1507,7894
1995-ID,1995,ID,1163000,3745,48,330.0,,279,3088
1995-IL,1995,IL,11830000,117836,1221,4313.0,,39139,73163
1995-IN,1995,IN,5803000,30451,466,1930.0,,7844,20211
1995-KS,1995,KS,2565000,10792,159,938.0,,2775,6920
1995-KY,1995,KY,3860000,14079,276,1231.0,,4001,8571
1995-LA,1995,LA,4342000,43741,740,1855.0,,11662,29484
1995-MA,1995,MA,6074000,41739,217,1759.0,,9137,30626
1995-MD,1995,MD,5042000,49757,596,2130.0,,21334,25697
1995-ME,1995,ME,1241000,1631,25,265.0,,334,1007
1995-MI,1995,MI,9549000,65680,808,5917.0,,17885,41070
1995-MN,1995,MN,4610000,16416,182,2593.0,,5702,7939
1995-MO,1995,MO,5324000,35339,469,1711.0,,10863,22296
1995-MS,1995,MS,2697000,13560,348,1054.0,,3530,8628
1995-MT,1995,MT,870000,1491,35,231.0,,253,972
1995-NC,1995,NC,7195000,46508,677,2320.0,,12896,30615
1995-ND,1995,ND,641000,556,6,146.0,,64,340
1995-NE,1995,NE,1637000,6253,48,317.0,,1067,4821
1995-NH,1995,NH,1148000,1314,21,333.0,,314,646
1995-NJ,1995,NJ,7945000,47652,409,1927.0,,22486,22830
1995-NM,1995,NM,1685000,13804,148,954.0,,2604,10098
1995-NV,1995,NV,1530000,14461,163,937.0,,4966,8395
1995-NY,1995,NY,18136000,152683,1550,4290.0,,72492,74351
1995-OH,1995,OH,11151000,53799,600,4835.0,,19931,28433
1995-OK,1995,OK,3278000,21770,400,1461.0,,3788,16121
1995-OR,1995,OR,3141000,16408,129,1309.0,,4332,10638
1995-PA,1995,PA,12072000,51586,755,3046.0,,22858,24927
1995-RI,1995,RI,990000,3643,33,267.0,,914,2429
1995-SC,1995,SC,3673000,36067,292,1737.0,,6461,27577
1995-SD,1995,SD,729000,1513,13,299.0,,189,1012
1995-TN,1995,TN,5256000,40549,557,2477.0,,11732,25783
1995-TX,1995,TX,18724000,124303,1693,8563.0,,33667,80380
1995-UT,1995,UT,1951000,6415,76,834.0,,1309,4196
1995-VA,1995,VA,6618000,23921,503,1799.0,,8718,12901
1995-VT,1995,VT,585000,692,13,165.0,,64,450
1995-WA,1995,WA,5431000,26300,275,3214.0,,7209,15602
1995-WI,1995,WI,5123000,14399,219,1194.0,,5384,7602
1995-WV,1995,WV,1828000,3842,89,388.0,,781,2584
1995-WY,1995,WY,480000,1220,10,165.0,,86,959
1996-AK,1996,AK,607000,4417,45,398.0,,710,3264
1996-AL,1996,AL,4273000,24159,444,1397.0,,7124,15194
1996-AR,1996,AR,2510000,13161,219,1046.0,,2864,9032
1996-AZ,1996,AZ,4428000,27963,377,1381.0,,7429,18776
1996-CA,1996,CA,31878000,274996,2916,10244.0,,94222,167614
1996-CO,1996,CO,3823000,15463,180,1765.0,,3755,9763
1996-CT,1996,CT,3274000,13490,158,755.0,,5552,7025
1996-DC,1996,DC,543000,13411,397,260.0,,6444,6310
1996-DE,1996,DE,725000,4845,31,454.0,,1304,3056
1996-FL,1996,FL,14400000,151350,1077,7508.0,,41643,101122
1996-GA,1996,GA,7353000,46966,630,2357.0,,15100,28879
1996-HI,1996,HI,1184000,3322,40,326.0,,1606,1350
1996-IA,1996,IA,2852000,7771,53,561.0,,1286,5871
1996-ID,1996,ID,1189000,3177,43,313.0,,241,2580
1996-IL,1996,IL,11847000,105482,1179,4548.0,,33106,66649
1996-IN,1996,IN,5841000,31366,420,1992.0,,7249,21705
1996-KS,1996,KS,2572000,10642,170,1096.0,,2476,6900
1996-KY,1996,KY,3884000,12448,228,1230.0,,3643,7347
1996-LA,1996,LA,4351000,40426,762,1805.0,,12036,25823
1996-MA,1996,MA,6092000,39122,157,1767.0,,7778,29420
1996-MD,1996,MD,5072000,47230,588,1905.0,,19944,24793
1996-ME,1996,ME,1243000,1553,25,260.0,,292,976
1996-MI,1996,MI,9594000,60951,722,5466.0,,16907,37856
1996-MN,1996,MN,4658000,15782,167,2327.0,,5385,7903
1996-MO,1996,MO,5359000,31669,433,1566.0,,9142,20528
1996-MS,1996,MS,2716000,13261,301,981.0,,3646,8333
1996-MT,1996,MT,879000,1415,34,238.0,,261,882
1996-NC,1996,NC,7323000,43068,619,2289.0,,12001,28159
1996-ND,1996,ND,644000,541,14,155.0,,71,301
1996-NE,1996,NE,1652000,7182,48,447.0,,1052,5635
1996-NH,1996,NH,1162000,1373,20,404.0,,317,632
1996-NJ,1996,NJ,7988000,42459,338,1976.0,,18838,21307
1996-NM,1996,NM,1713000,14399,197,1088.0,,2782,10332
1996-NV,1996,NV,1603000,13005,220,856.0,,4931,6998
1996-NY,1996,NY,18185000,132206,1353,4174.0,,61822,64857
1996-OH,1996,OH,11173000,47896,538,4617.0,,18336,24405
1996-OK,1996,OK,3301000,19710,223,1545.0,,3519,14423
1996-OR,1996,OR,3204000,14837,129,1272.0,,3914,9522
1996-PA,1996,PA,12056000,57905,686,3034.0,,22784,31401
1996-RI,1996,RI,990000,3437,25,287.0,,824,2301
1996-SC,1996,SC,3699000,36875,332,1821.0,,6361,28361
1996-SD,1996,SD,732000,1297,9,300.0,,138,850
1996-TN,1996,TN,5320000,41175,503,2475.0,,11902,26295
1996-TX,1996,TX,19128000,123270,1477,8376.0,,32804,80613
1996-UT,1996,UT,2000000,6638,63,836.0,,1377,4362
1996-VA,1996,VA,6675000,22782,500,1783.0,,8181,12318
1996-VT,1996,VT,589000,714,11,159.0,,91,453
1996-WA,1996,WA,5533000,23857,255,2828.0,,6587,14187
1996-WI,1996,WI,5160000,13039,204,1086.0,,4982,6767
1996-WV,1996,WV,1826000,3836,69,358.0,,737,2672
1996-WY,1996,WY,481000,1201,16,140.0,,98,947
1997-AK,1997,AK,609000,4270,54,403.0,,648,3165
1997-AL,1997,AL,4319000,24379,426,1396.0,,6931,15626
1997-AR,1997,AR,2523000,13293,250,1098.0,,2814,9131
1997-AZ,1997,AZ,4555000,28411,375,1492.0,,7547,18997
1997-CA,1997,CA,32268000,257582,2579,10189.0,,81468,163346
1997-CO,1997,CO,3893000,14139,157,1677.0,,3242,9063
1997-CT,1997,CT,3270000,12781,124,740.0,,4999,6918
1997-DC,1997,DC,529000,10708,301,218.0,,4501,5688
1997-DE,1997,DE,732000,5753,22,428.0,,1783,3520
1997-FL,1997,FL,14654000,149996,1012,7599.0,,40459,100926
1997-GA,1997,GA,7486000,45408,563,2328.0,,15473,27044
1997-HI,1997,HI,1187000,3299,47,371.0,,1403,1478
1997-IA,1997,IA,2852000,8841,52,579.0,,1593,6617
1997-ID,1997,ID,1210000,3107,39,350.0,,237,2481
